id,title,artist,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,cluster
song_0,Track 0,Artist 0,Country,0.6938055569674118,0.3739278697067838,8,-47.96137902256826,1,0.35045334206472706,0.3822907885207719,0.126800542853874,0.502875326977022,0.6160669236600617,170.80086044241136,2
song_1,Track 1,Artist 1,Jazz,0.5527623680335831,0.56281261095363,9,-0.6247755515598072,0,0.06973232729951745,0.24119834567124832,0.36685600045750577,0.257651192425027,0.06403921308436733,119.66273248134874,6
song_2,Track 2,Artist 2,R&B,0.2162505281865289,0.04732453013642135,7,-59.561370680703554,1,0.3288685394937362,0.2174767398104167,0.44592095173537705,0.9510838812651036,0.0324660192337024,83.26055154022384,0
song_3,Track 3,Artist 3,Classical,0.20858836774105072,0.04122781399906039,11,-44.190997371425816,1,0.38314918900613015,0.3023800188134036,0.9353690161355955,0.06094541241624629,0.4198901652810969,151.73054757612726,2
song_4,Track 4,Artist 4,Country,0.29639200687528344,0.2507983351119627,5,-48.00838216354807,1,0.2862095319827483,0.8642361699311809,0.6591854723058224,0.2746739275048474,0.18913331227592522,75.06903175264439,9
song_5,Track 5,Artist 5,Folk,0.9108026709698133,0.6897016423646233,9,-59.16039538977224,1,0.4463745022601758,0.7670828872292905,0.8752775627958908,0.8931088765498787,0.7587883421524628,110.20107746071325,0
song_6,Track 6,Artist 6,Hip-Hop,0.5474148403797259,0.8521477478000117,10,-16.057925991161063,0,0.1384948908924427,0.6809995141600522,0.7575917008399362,0.4800359575072838,0.6687362841352302,135.38556598224204,8
song_7,Track 7,Artist 7,Country,0.7339053770018694,0.5591858799798484,2,-18.394451874024227,0,0.12107234986962528,0.45710299264249343,0.30986088652268295,0.60008411190417,0.32582697438305186,143.02274237244887,6
song_8,Track 8,Artist 8,R&B,0.3465587598165476,0.5321327395823524,10,-12.458942138704174,1,0.434784872471323,0.5077539846326035,0.7187089930641832,0.6516933714956425,0.045783265163332754,147.96332606591125,2
song_9,Track 9,Artist 9,Classical,0.40771577066522524,0.40230953379146595,1,-44.59808721212609,1,0.3126991214957262,0.26713884549346034,0.19529973592387462,0.07092751177356338,0.18244362384351764,83.22388698485025,5
song_10,Track 10,Artist 10,Jazz,0.12556557863725137,0.16159795595802118,6,-33.339889975021805,1,0.000723610260499663,0.07431591383591762,0.40814581171746767,0.01773874090858507,0.691679342613111,177.79790416464607,5
